State,State Code,Animal fats,"Bakery goods, cereals, and pasta",Beef and beef products, Beer ,Chocolate and cocoa products,Coarse grains (ex. corn),Condiments and sauces,Confectionery,Corn,Cotton,Dairy products,"Dextrins, peptones, and proteins",Distilled spirits,Distillers grains,Dog and cat food,Eggs and products,Essential oils,Ethanol (non-bev.),Food preparations,Fresh fruit,Fresh vegetables,Fruit and vegetable juices,Hay,Hides and skins,Live animals,Meat products NESOI,Milled grains and products,Non-alcoholic bev. (ex. juices),Nursery products and cut flowers,Oilseeds (ex. soybean),"Other feeds, meals, and fodders",Planting seeds,Pork and pork products,Poultry meat and products (ex. eggs),Processed fruit,Processed vegetables,Pulses,Rice,Soybean meal,Soybean oil,Soybeans,"Sugar, sweeteners, bev. bases",Tobacco,Tree nuts,Vegetable oils (ex. soybean),Wheat,Wine and related products
Alabama,AL,22469534,4749824,45928878,,16667242,359312,30604300,14997920,1019124,528855396,53541134,2677050,1043848,194540,147503804,381136718,39212044,3874080,22184886,260596,7402696,14496188,1468002,398344,1085438968,42566870,17276968,28475788,1853504,2598148,103206082,2629130,14740124,2768418596,2138936,1542462,308576,2392080,115492,93208176,2736290314,246247688,13931592,5036946,46862136,25044676,146380
Alaska,AK,28224,400904,1763924," 3,310,392.00 ",338348,,2992436,2094172,17174932,1100772,2188062,848736,15744,599670,99964,101228,3452100,,2251466,3414370,457064,2098214,444720,1487888,642184,10394732,411854,2972188,523464,,14218692,1134140,1328738,13483324,676680,554002,,325162,30845860,709932,420000,2161892,30700,530560,998808,,250666
Arizona,AZ,62930238,152953642,1548663920," 101,766.00 ",156700128,153580,40280340,1246845314,43840,1604519944,2668303060,214531228,7797842,26438626,154285746,18787808,7475750,1599318,1255556486,1688582196,4695790416,2741472144,963505920,304625764,48599532,65758730,6413522,2813887888,68484750,3570992,1083101606,704239750,66380068,49312976,561784376,117769708,28609464,21219148,1009912,2845780,,1243543946,1580884,679520446,124274242,558555972,3493032
Arkansas,AR,12673062,188904908,171426848,,1431598,,32693882,824884210,7587252,1617651066,36601732,30069680,660374228,889890,330528564,2405494490,8933552,825026,824323732,9158926,38375128,825561492,,478050,101161136,73217004,71759352,828732994,56920,1585020,632699062,6692080,95034180,3891480668,5846662,33634416,1195976,3663280186,13566,861568,161821942,825187730,,842350,52526378,35869752,7111256
California,CA,412970614,6775191204,9841131404," 1,402,016,290.00 ",3102115884,24178316,5243072082,17718241672,189185160,7050615990,27817079774,2770918256,1002669438,75079864,3395296228,318981390,2874640614,25499062,20554235474,37582986110,17189059306,20642890746,7865887170,704292126,711555178,1778898144,867567998,22585784196,1263118146,3029811066,10940649680,10499311114,4420123736,3604692962,9022641086,8124445252,441816340,9446024386,221861356,231853896,329665680,17561132328,32788388,1.04108E+11,2372896722,68810384,15409096730
Colorado,CO,46618998,298177750,15406576864," 197,298,574.00 ",187177190,946642,30751826,264231550,103213594,86366,910826506,29675710,4405128,2342120,335993000,4166116,59468536,573516,237111508,2192418,83834298,346542260,2075744,1065477658,103903622,322800284,129429630,409600366,10852866,65423242,626553078,518886326,3732456298,503261202,43160736,20002452,135408346,10060106,,14799674,504852,244598528,,34533698,88170514,112208454,2117376
Connecticut,CT,709428,336152694,1784524," 7,225,760.00 ",17029208,,81924418,1181764468,71418424,33754200,159021706,145126140,106990782,,337809824,83609546,71893762,90166794,1150025392,699038,39387888,1177806638,509084,20553704,6394466,1002228,1693862,1202265472,4398492,1323532,10297526,3952292,717324,6397702,15973568,89258658,1859110,10480,,1846450,16817112,1155539002,768757432,2055184,54861034,196288,28822064
Delaware,DE,13936846,37969414,14263390," 124,864.00 ",77720508,140040,21603478,191198260,1123712,92428,64467274,28557690,770294,1769040,542256,11095904,802108,91932,194083980,2155909916,7518934,277234076,1287244,5600,26947758,24586790,3505656,192976212,2287650,411594,125877954,3507420,16246848,939893994,5599504,9563858,1768740,61136,1012396,124782,5971296,191819920,117780,10180728,13109990,32771440,66920738
Florida,FL,133051482,2516184654,3255559986," 257,036,290.00 ",979971492,5606066,1791159386,4191973686,113120300,77516100,6042741214,502186650,2480923202,35836,426931206,563184286,3199945226,55501002,3935396534,3916012344,3813649448,6076773954,6287312,87119888,549690096,1105227178,232277186,6865247590,1242202938,25760522,911558664,1771778136,1933035626,3614047480,1278528080,961080786,255683448,310697730,68046636,380318934,6561212,4100488088,282370384,736837444,1350944566,88505940,337666418
Georgia,GA,93456562,1415308354,466509198," 1,213,135,962.00 ",786519506,277690,893468182,1771952090,907850,8239662126,1374550792,313741816,21515014,1991838470,311890242,1160843340,972046302,3968038,1722022636,302113474,541095944,1615388442,5155718,144597358,583713778,127416728,30816382,2200372422,32250996,456199130,2273255636,43025978,838567916,14893567788,153136806,347820332,4552116,16050204,477063386,344197450,27379448,1617342992,8125726,1195220348,1529998532,20000,7053374
